id,businessId,name,stage,startDate,closeDate,notes,userId,createdAt,updatedAt,lastActivityDate,nextActivityDate,responsibleId,hasRequest,bookingRequestId,dealId,lostReason,name
,cmk5zesbv01eehpila7ws3l75,American Beauty|Dec-2025-I,Iniciación,12/3/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/3/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gym20000frbhporepfmih,American Pets - Q1 2026|Feb-2026-I,Reunión,2/3/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/3/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gym6q000hrbhp8h0mpn7l,Ammy Café |Jun-2025-I,Iniciación,6/11/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,6/11/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xlbu0008mhpexjjm6d1l0,Amura Nails - Q1 2026|Jan-2026-I,Iniciación,1/9/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/9/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zbqh3005chpil29j3o0b5,Angelicius Estetic Center |Jan-2025-I,Reunión,1/2/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/2/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g70ps002tnvhprc376lbe,Anna Lisa Volpe Medical Spa|Jan-2025-I,Reunión,1/2/2025,,,user_38wAaycls2JvlpO8aN0PymrN8si,1/2/2025,,,,user_38wAaycls2JvlpO8aN0PymrN8si,FALSE,,,,
,cml8gymg6000lrbhpyg7o29fq,Antony Morato |Sep-2025-I,Iniciación,9/23/2025,,,user_38wAaycls2JvlpO8aN0PymrN8si,9/23/2025,,,,user_38wAaycls2JvlpO8aN0PymrN8si,FALSE,,,,
,cml8gymlt000nrbhparlw213f,Aqua Shield - Q4 2025|Dec-2025-I,Reunión,12/3/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/3/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gymo5000orbhpzkmppv7g,Aquatics 2025 |Jul-2025-I,Iniciación,7/15/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,7/15/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zc7ld00cahpilaar3xep9,Arrendadora económica 2025|May-2025-I,Iniciación,5/20/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,5/20/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xktr60016hpexy2hs4nau,Asados Gaby Dana Q3 2025|Jul-2025-I,Reunión,7/9/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,7/9/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyn1c000rrbhprxc3xzwp,Aura BioBalance - Q3|Aug-2025-I,Reunión,8/13/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,8/13/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gyn3p000srbhpok114xk3,Austin Mama's Q3 2025|Jul-2025-I,Iniciación,7/15/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,7/15/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zikoz02y0hpilgjpnqp9u,Avani 2025 |Jan-2025-I,Iniciación,1/24/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,1/24/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cmk5zi2t402qohpilurlbuo6e,Avegado 2025|Feb-2025-I,Iniciación,2/27/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/27/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zfkic01pwhpilrgivaglb,Ay mi negra 2025|Oct-2025-I,Iniciación,10/6/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,10/6/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gynav000vrbhplf6u0w23,Azotea Solymar - Q1 2025|Jan-2025-I,Iniciación,1/23/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/23/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gynit000yrbhpqi1kuue4,BAGEL SPOT |Nov-2025-I,Iniciación,11/12/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,11/12/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyjob0000rbhprtza67b2,Bakery & Café 888 - Q2 2025|May-2025-I,Iniciación,5/15/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,5/15/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zbx390080hpilkrsavkrk,Bamboo 1- 2026|Jan-2026-I,Iniciación,1/16/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/16/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyo0y0013rbhp8qe77vtq,BB.q Chicken -Q4 2025|Nov-2025-I,Iniciación,11/19/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,11/19/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xl6q7006ihpexfpajd2h0,Bella Beach Club - Q3 2025|May-2025-I,Iniciación,5/27/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,5/27/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyo5u0015rbhpes2so3af,Bella Holdings|Jan-2025-I,Iniciación,1/22/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/22/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xl79j006qhpex71l8z8jg,Benjamin bbq - Q1 2026|Jan-2026-I,Iniciación,1/7/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/7/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8g8vc500qdnvhpha9xrnke,Big Bag|Jan-2026-I,Iniciación,1/23/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/23/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g8vc500qdnvhpha9xrnke,Big Bag 1- 2026|Jan-2026-I,Iniciación,1/13/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/13/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zfbdx01m6hpilv2wgjxe6,Bioderma 2025|Jul-2025-I,Iniciación,7/23/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,7/23/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyog80019rbhp7m9wheer,Biolaser |Dec-2025-I,Iniciación,12/10/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/10/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
